country,type,state,city,count,last_updated,sources
IND,hospital,Andhra Pradesh,,51,2025-08-18 17:22:03.205510,Wikipedia
IND,hospital,Chennai,,49,2025-08-18 17:22:03.255334,Wikipedia
IND,hospital,Delhi,,26,2025-08-18 17:22:03.221331,Wikipedia
IND,hospital,Himachal Pradesh,,55,2025-08-18 17:22:03.221331,Wikipedia
IND,hospital,Madhya Pradesh,,14,2025-08-18 17:22:03.221331,Wikipedia
IND,hospital,Mumbai,,70,2025-08-18 17:22:03.236978,Wikipedia
IND,hospital,Uttar Pradesh,,32,2025-08-18 17:22:03.255334,Wikipedia
IND,medical_school,,Adoor,1,2025-08-18 17:22:03.305643,Wikipedia
IND,medical_school,,Agartala,1,2025-08-18 17:22:03.337337,Wikipedia
IND,medical_school,,Agra,1,2025-08-18 17:22:03.362827,Wikipedia
IND,medical_school,,Agroha,1,2025-08-18 17:22:03.284107,Wikipedia
IND,medical_school,,Ahmedabad,5,2025-08-18 17:22:03.284107,Wikipedia
IND,medical_school,,Ahmednagar,2,2025-08-18 17:22:03.315676,Wikipedia
IND,medical_school,,Akbarpur,1,2025-08-18 17:22:03.347111,Wikipedia
IND,medical_school,,Ambajogai,1,2025-08-18 17:22:03.315676,Wikipedia
IND,medical_school,,Ambedkar Nagar,1,2025-08-18 17:22:03.354851,Wikipedia
IND,medical_school,,Ambikapur,1,2025-08-18 17:22:03.276458,Wikipedia
IND,medical_school,,Amravati,1,2025-08-18 17:22:03.305643,Wikipedia
IND,medical_school,,Amreli,1,2025-08-18 17:22:03.284107,Wikipedia
IND,medical_school,,Ansari Nagar West,1,2025-08-18 17:22:03.276458,Wikipedia
IND,medical_school,,Arambagh,1,2025-08-18 17:22:03.362827,Wikipedia
IND,medical_school,,Ariyalur,1,2025-08-18 17:22:03.315676,Wikipedia
IND,medical_school,,Atkot,1,2025-08-18 17:22:03.276458,Wikipedia
IND,medical_school,,Ayodhya,1,2025-08-18 17:22:03.354851,Wikipedia
IND,medical_school,,Azamgarh,1,2025-08-18 17:22:03.347111,Wikipedia
IND,medical_school,,Bagalkot,2,2025-08-18 17:22:03.297519,Wikipedia
IND,medical_school,,Bahraich,1,2025-08-18 17:22:03.354851,Wikipedia
IND,medical_school,,Ballari,1,2025-08-18 17:22:03.284107,Wikipedia
IND,medical_school,,Balmiki Basti,1,2025-08-18 17:22:03.276458,Wikipedia
IND,medical_school,,Bambolim,1,2025-08-18 17:22:03.276458,Wikipedia
IND,medical_school,,Banda,1,2025-08-18 17:22:03.354851,Wikipedia
IND,medical_school,,Bankura,1,2025-08-18 17:22:03.362827,Wikipedia
IND,medical_school,,Baramati,1,2025-08-18 17:22:03.315676,Wikipedia
IND,medical_school,,Bareilly,1,2025-08-18 17:22:03.354851,Wikipedia
IND,medical_school,,Basti,1,2025-08-18 17:22:03.354851,Wikipedia
IND,medical_school,,Belagavi,1,2025-08-18 17:22:03.284107,Wikipedia
IND,medical_school,,Bengaluru,5,2025-08-18 17:22:03.297519,Wikipedia
IND,medical_school,,Berhampore,1,2025-08-18 17:22:03.362827,Wikipedia
IND,medical_school,,Bhadrak,1,2025-08-18 17:22:03.315676,Wikipedia
IND,medical_school,,Bharatpur,1,2025-08-18 17:22:03.315676,Wikipedia
IND,medical_school,,Bharuch,1,2025-08-18 17:22:03.276458,Wikipedia
IND,medical_school,,Bhawanipatna,1,2025-08-18 17:22:03.315676,Wikipedia
IND,medical_school,,Bhilai,1,2025-08-18 17:22:03.276458,Wikipedia
IND,medical_school,,Bhilwara,1,2025-08-18 17:22:03.315676,Wikipedia
